Date,Open,High,Low,Close,Adj Close,Volume
06-02-2018,554.5,563.950012,549.349976,554.224976,539.887634,437174
07-02-2018,556.049988,562.5,551.950012,554.375,540.033813,469586
08-02-2018,560.150024,572.5,558.525024,567.275024,552.600098,432672
09-02-2018,562.450012,562.450012,553.599976,555.900024,541.519409,271824
12-02-2018,556,560,549.375,551.900024,537.622864,725500
14-02-2018,552,558.700012,545.849976,549.025024,534.822266,384416
15-02-2018,550.049988,564.849976,550.049988,557.075012,542.664001,565998
16-02-2018,560.5,570,558.025024,562.424988,547.875549,1126770
19-02-2018,562.599976,567.5,560,565,550.383911,541164
20-02-2018,566,573.950012,560.5,567.349976,552.673096,245978
21-02-2018,573,575.825012,570.200012,574.349976,559.492065,290196
22-02-2018,574.450012,582,570.049988,580.25,565.239441,286646
23-02-2018,582.5,583,573.599976,577.825012,562.877136,243264
26-02-2018,578.5,578.5,568.075012,570.525024,555.765991,217834
27-02-2018,571.049988,576.400024,562.924988,574.150024,559.297302,694922
28-02-2018,574.025024,594.599976,571.174988,587.125,571.936584,801820
01-03-2018,586.724976,586.724976,578.200012,580.125,565.117676,180300
05-03-2018,580,585.049988,572.025024,576.549988,561.635132,1528590
06-03-2018,583.625,583.625,564.924988,573.424988,558.590942,234724
07-03-2018,575.650024,580,569.099976,571.400024,556.618408,303404
08-03-2018,572,582.5,572,578.349976,563.388611,415288
09-03-2018,580.099976,583,578.25,581.700012,566.651917,215634
12-03-2018,585.150024,595.924988,585.150024,592.924988,577.586548,747762
13-03-2018,588.099976,597.75,587.5,590.275024,575.005066,178396
14-03-2018,589.5,594.5,584.724976,590.099976,574.834595,129786
15-03-2018,590,593.950012,586.125,591.075012,575.784424,918832
16-03-2018,592.400024,592.5,584.5,586.25,571.084229,110724
19-03-2018,582.349976,590,571.900024,573.575012,558.737122,554528
20-03-2018,573.575012,585,573.575012,581.049988,566.018677,1385078
21-03-2018,581.549988,588.299988,581.549988,584.299988,569.184631,176810
22-03-2018,583.450012,588.025024,576.799988,579.400024,564.411438,502590
23-03-2018,572.5,586.849976,570,583.724976,568.624451,683020
26-03-2018,583.5,583.5,571.950012,577.150024,562.219666,392600
27-03-2018,572.5,585,572.5,576.400024,561.489075,219940
28-03-2018,576.5,576.5,564.5,567.200012,552.527039,191466
02-04-2018,567.75,574.474976,561,568.75,554.036926,145624
03-04-2018,568.400024,572.5,564.799988,570.025024,555.278931,111372
04-04-2018,570.25,572.5,560,562.275024,547.729431,348580
05-04-2018,567.025024,575.200012,564.974976,572.5,557.689941,114620
06-04-2018,570,572.849976,561.825012,564.650024,550.04303,177714
09-04-2018,564.950012,564.950012,553.400024,555.474976,541.105347,334702
10-04-2018,563.5,563.5,552.775024,557.075012,542.664001,443396
11-04-2018,559,565.875,558.849976,561.950012,547.412842,680392
12-04-2018,566.450012,586,564.150024,581.125,566.091797,565760
13-04-2018,587.25,592,575.099976,584.5,569.379456,589618
16-04-2018,549.650024,570,549.5,566.400024,551.747742,1063122
17-04-2018,565.974976,565.974976,557.674988,562.5,547.948608,315068
18-04-2018,562,567,556.849976,562.724976,548.167786,316444
19-04-2018,562,569.5,562,566.349976,551.698975,239364
20-04-2018,569.25,595.900024,567.450012,589.125,573.884827,1124558
23-04-2018,583,606.200012,577.5,591.674988,576.368835,1037244
24-04-2018,592.5,598,575,576.950012,562.024841,342502
25-04-2018,577,585.650024,572.599976,580.450012,565.434265,486294
26-04-2018,582.5,591,580,587.825012,572.618469,297092
27-04-2018,590,595.849976,587.5,592.575012,577.245605,287442
30-04-2018,594,603.974976,592.5,599.700012,584.186279,257636
02-05-2018,600,602,590.200012,598.900024,583.406982,523678
03-05-2018,599,602.325012,587.5,590.924988,575.638245,177976
04-05-2018,595,598,578.400024,586.450012,571.279053,213926
07-05-2018,588.549988,595.099976,588.400024,591.674988,576.368835,184192
08-05-2018,588.275024,590,581,582.674988,567.601685,386254
09-05-2018,585,588.224976,581.650024,585.625,570.475403,248234
10-05-2018,582.5,591.5,581.549988,583.775024,568.673279,156608
11-05-2018,585.25,594.5,583.174988,590.5,575.224243,122988
14-05-2018,587.5,597.349976,585.025024,594.799988,579.413025,117522
15-05-2018,594.650024,603.875,593.400024,596.275024,580.849915,408838
16-05-2018,596.275024,598.75,592.5,595.025024,579.632202,219200
17-05-2018,599.450012,599.450012,587.5,592.474976,577.148132,138004
18-05-2018,593,593.775024,586.525024,591.875,576.563721,105462
21-05-2018,590,594,585.150024,591.299988,576.00354,167710
22-05-2018,587.799988,598.974976,587.275024,596.775024,581.336975,194038
23-05-2018,598.400024,603.349976,590.450012,592.625,577.294312,208928
